subLink,word,type,level
718,shiftless,shiftless,adjective,c2
719,sink_1,sink,verb,c2
720,sink_1,sink or swim,idiom,c2
721,slippage,slippage,noun,c2
722,small-time,small-time,adjective,c2
723,snag_1,snag,noun,c2
724,day,somebody’s/something’s days are numbered,idiom,c2
725,so_1,so much for something,idiom,c2
726,near_3,so near and yet so far,idiom,c2
727,spoiler,spoiler,noun,c2
728,stillborn,stillborn,adjective,c2
729,strife,strife,noun,c2
730,strike-out,strike out,phrasal verb,c2
731,struggle_1,struggle,verb,b2
732,struggle_2,struggle,noun,b2
733,stumble_1,stumble,noun,c2
734,surmount,surmount,verb,c2
735,bull,take the bull by the horns,idiom,c2
736,gilt,take the gilt off the gingerbread,idiom,c2
737,talk-down,talk down,phrasal verb,c2
738,tank_2,tank,verb,c2
739,technical-hitch,technical hitch,noun,c2
740,stacked,the cards/odds are stacked against you,idiom,c2
741,kiss_2,the kiss of death,idiom,c2
742,tide_1,the tide turned,idiom,c2
743,weak,the weak link (in the chain),idiom,c2
744,writing,the writing is on the wall,idiom,c2
745,thorny,thorny,adjective,c2
746,spanner,(throw) a spanner in the works,idiom,c2
747,hand_1,throw your hand in,idiom,c2
748,thumb_1,thumbs up/down,idiom,c2
749,avail_1,to little/no avail,idiom,c2
