word,sound
426,cheque,cheque__gb_2.mp3
427,cleaner,cleaner__gb_1.mp3
428,clerk,clerk__gb_1.mp3
429,click and collect,click_and_collect_1_gb_2.mp3
430,close,close__gb_1.mp3
431,clothing,clothing__gb_1.mp3
432,coin,coin__gb_1.mp3
433,comparison-shop,comparison_shop_1_gb_1.mp3
434,comparison shopping,comparison_shopping_1_gb_1.mp3
435,comparison site,comparison_site_1_gb_1.mp3
436,condition,xcondition__gb_1.mp3
437,confectioner,xconfectioner__gb_1.mp3
438,convenience store,xconvenience_store_1_gb_1.mp3
439,cookware,cookware__gb_1.mp3
440,corner shop,corner_shop_1_gb_1.mp3
441,cosmetic,cosmetic__gb_1.mp3
442,cost,cost__gb_1.mp3
443,counter,counter__gb_1.mp3
444,couponing,couponing__gb_1.mp3
445,craft,craft__gb_1.mp3
446,credit,credit__gb_1.mp3
447,credit card,credit_card_1_gb_1.mp3
448,credit note,credit_note_1_gb_1.mp3
449,crockery,crockery__gb_1.mp3
450,currency,currency__gb_2.mp3
451,customer,customer__gb_3.mp3
452,cutlery,cutlery__gb_1.mp3
453,debit card,debit_card_1_gb_1.mp3
454,debt,debt__gb_2.mp3
455,deli,deli__gb_1.mp3
456,delicatessen,delicatessen__gb_1.mp3
457,deliver,deliver__gb_2.mp3
458,delivery,delivery__gb_2.mp3
459,denomination,denomination__gb_1.mp3
460,department,department__gb_2.mp3
461,department store,department_store_1_gb_1.mp3
462,discount,discount__gb_1.mp3
463,discount,discount__gb_1.mp3
464,display,display__gb_1.mp3
465,display bin,display_bin_1_gb_1.mp3
466,dot-com,dot_com_1_gb_1.mp3
467,download,download__gb_1.mp3
468,downtown,downtown__gb_4.mp3
469,downtown,downtown__gb_4.mp3
470,downtown,downtown__gb_4.mp3
471,draper,draper__gb_2.mp3
472,dressing room,dressing_room_1_gb_1.mp3
473,drugstore,drugstore__gb_2.mp3
474,dry-cleaner’s,dry_cleaner_s_1_gb_2.mp3
475,dummy,dummy__gb_1.mp3
476,dump bin,dump_bin_1_gb_1.mp3
477,duty-free,duty_free_1_gb_1.mp3
478,duty-free,duty_free_1_gb_1.mp3
479,duty-free,duty_free_1_gb_1.mp3
480,e-cash,e_cash_1_gb_1.mp3
481,electrical,electrical__gb_2.mp3
482,escalator,escalator__gb_1.mp3
483,estate agent,estate_agent_1_gb_1.mp3
484,e-tailing,e_tailing_1_gb_3.mp3
485,expensive,expensive__gb_3.mp3
